,particle_id,distance,w,par_N,par_delta1,par_delta2,par_mu,par_muD1,par_muD2,par_psurv,par_r,sumstat_res
291,24293,168.25958192318598,6.20634401329194e-05,4.090615613203447,0.06047118972080208,1.0926176772009333,8.738650219181459,-4.530548560427507,-7.361604121281642,0.26137312368391247,0.91859136022103,168.25958192318598
292,24294,191.57193301357,0.0004263233164139942,6.1892914594062045,0.08576190606751838,1.1414632427202038,7.8920339182693136,-6.033739025651672,-8.275053457956538,0.32740724429798773,0.8769330567823033,191.57193301357
293,24295,182.4487622546414,0.00033765324379045526,4.372786053973668,0.18328952149180522,1.1012847618738046,8.016111241816708,-6.518559669910562,-5.9899899124399365,0.3722284408969579,0.9059850489561392,182.4487622546414
294,24296,133.16596862687774,0.00027225224068843664,3.9025406764588557,0.4020546091452529,1.1684278875638618,7.291555443572614,-7.196696701655439,-4.566706001360187,0.24525300118988516,0.8586341495761034,133.16596862687774
295,24297,194.28294833386477,0.0004571526248836394,6.973709374203457,0.024119554945359084,1.2025752676823036,6.73983676263725,-6.225804682527555,-8.391413809080607,0.15430769405996092,0.8348138798310696,194.28294833386477
296,24298,180.11408090543506,0.0003089709629556458,3.4455762594150823,0.24541847896078378,1.1824975064565353,10.89364739352813,-6.867063273982359,-4.1695031954695025,0.30506294917024235,0.8523230643493843,180.11408090543506
297,24299,163.66280228174605,0.00015213224451762988,4.7971985311314995,0.1606016257818039,1.1974909120302326,8.504007110683004,-5.714274744559022,-6.54222080960354,0.11973530943090316,0.8380906930873167,163.66280228174605
298,24300,177.64119487227174,0.00017977309763518841,3.276485577998307,0.2601190978768405,1.1908587274015021,9.619071757890515,-5.964805046023228,-4.696409093383298,0.12600215330672773,0.8422474350727616,177.64119487227174
299,24301,157.34996113856997,0.00019912400073189413,3.6707186265406966,0.02384863387734542,1.1604721562659706,9.840069130029802,-6.43503841657799,-5.047918903892629,0.34778791413867716,0.8635417871551545,157.34996113856997
300,24302,186.80765766014738,0.0001688556434890441,3.7324808069998454,0.2575867782763101,1.1531493233234922,8.797358649173058,-6.488656835116872,-5.041132109395019,0.24606042759149122,0.8680693063866152,186.80765766014738
301,24303,197.95459309010062,0.0009268495585098211,5.171224231131101,0.17669608417682472,1.1468136078495625,8.451936936976312,-8.482217269601527,-4.853626187335088,0.483477011745449,0.8740094674112919,197.95459309010062
302,24304,190.77699770673888,0.0004054138920230288,4.396341604604941,0.08667848490602065,1.0952738882523805,6.1955589147623416,-8.287357979975148,-4.4351639041711834,0.45415032335967054,0.9128646255021002,190.77699770673888
303,24305,169.10510630580353,0.0002337284301588738,3.5466787912142954,0.2068055742777451,1.1221746825438192,8.761785473101977,-5.64043209557026,-5.4320670025317845,0.20187943143590842,0.898430234902895,169.10510630580353
304,24306,167.97233027476608,0.0003354653843948544,4.148240759033991,0.455482988021952,1.1302679998941876,5.212751663489219,-6.688470128476093,-5.503874761014088,0.2391661020821551,0.8871118780545911,167.97233027476608
305,24307,195.6311646355938,0.0005744710456845714,5.657787138680368,0.20950663656849,1.1391267450329148,6.906436057901746,-7.938699114698529,-5.225852446930803,0.11211611290720419,0.8826925904527914,195.6311646355938
306,24308,193.0517745916597,0.004586775301910536,6.665578827809195,0.17209850537272453,1.05445840933936,5.416371359016122,-7.716024580693015,-7.040139283430206,0.2514416020435508,0.9532407820183263,193.0517745916597
307,24309,189.74733583652204,0.00015250278823872635,4.096085391871471,0.08631351337543715,1.199207660756223,10.341111626470752,-6.954146364142972,-4.453302364552983,0.11054261915211708,0.8350308309738043,189.74733583652204
308,24310,186.1318096008715,0.0024135906264950513,4.571885324185348,0.06233823997160228,1.14459374431565,7.2244793885458805,-8.205435975686083,-4.058616271873113,0.3316066830318079,0.8867213977165116,186.1318096008715
309,24311,201.69877719228313,0.0003854997633908712,5.607691644967652,0.2996197888528932,1.0654228120769988,4.931585819489112,-5.891378005278248,-7.611298169896002,0.09366919275399194,0.9380887427605812,201.69877719228313
310,24312,188.61778124822843,0.0005462443661610087,6.392195696508242,0.04828338840634501,1.1129915108653106,5.32702059989669,-8.052982133333185,-6.477066624806941,0.32161233560770186,0.9028719436737328,188.61778124822843
311,24313,153.58313008432535,0.00017098490244781667,3.6360058822262067,0.33462584454073685,1.2003621960567148,9.09738965518498,-6.091629288319659,-5.343501494165685,0.3084092164411693,0.8366324176582222,153.58313008432535
312,24314,199.5176688447774,0.0009318157534368596,5.077857108884125,0.39929620359189644,1.1029575051341414,5.022579189585695,-6.735980616625955,-6.5595400142622315,0.38831632237307867,0.9120309276953521,199.5176688447774
313,24315,164.41596870925446,0.00016918149402563945,4.144556318944093,0.2217297284188699,1.125659161899725,6.330112469771761,-6.782064062828946,-5.234902699504261,0.25082069811537183,0.8918050519164875,164.41596870925446
314,24316,178.40408326070008,0.00037250090801949244,3.9737862186126165,0.1932908119817403,1.0847160014529769,6.956118675198745,-5.9727897405632495,-6.162460217056995,0.4330971874306573,0.9248289806318404,178.40408326070008
315,24317,173.83262592563062,0.0003047053297603154,3.6211681181372786,0.09791563645484345,1.2705970180955342,9.55033916261396,-5.440160111287879,-5.474716300718421,0.14006548990321513,0.7911111253978045,173.83262592563062
316,24318,189.13552712496448,0.0005376646475590492,3.0425046604678028,0.3421637245502547,1.1053068907395929,5.524497686823695,-5.931485995959912,-4.940160991405933,0.15605338041293587,0.9059087410643516,189.13552712496448
317,24319,194.98820283623866,0.00019357341714543015,4.982658427011346,0.17953990547821555,1.1346915537890119,7.897013592288747,-4.536953769152379,-8.047863371195296,0.12914837530316314,0.8792630470900297,194.98820283623866
318,24320,193.1144502152423,0.0004481311526641091,3.540018288016825,0.12044381444703202,1.0762614920715021,7.693512139351917,-4.899547037592632,-6.31287944190004,0.12844461428317444,0.929059915220054,193.1144502152423
319,24321,159.91448524216975,0.0001266832799587335,3.79949670593535,0.15349592865407471,1.1813495650939325,10.27838936309961,-6.202577110093283,-5.44249895113711,0.4207228904468523,0.8510022569510864,159.91448524216975
320,24322,172.3556123910501,0.0003259998674043984,6.01848042061625,0.07095962736507194,1.1129415583690037,6.7445223582177585,-5.658501925980271,-7.944069033764762,0.11776053998834733,0.9045111182008656,172.3556123910501
