,particle_id,distance,w,par_N,par_delta1,par_mu,par_muD1,par_muD2,par_psurv,par_r,sumstat_res
698,22700,801.7699559824971,0.0005725688131122111,5.8068811587073546,0.29153910465182564,2.958435009239965,-7.478788898250761,-7.960061686833078,0.20384968091146866,0.9887971401804605,801.7699559824971
699,22701,786.4659118595878,0.00053229562296193,3.8719497073641698,0.2550288125008759,3.1386871763291486,-4.999435446900805,-8.45248482997355,0.42844789252250964,0.9890087364860907,786.4659118595878
700,22702,774.0164424913198,0.00042355986827915653,3.2869466369071274,0.03764058671030938,8.26539272782607,-5.143821139842345,-6.477601221208526,0.13209075469246662,0.9594979942495525,774.0164424913198
701,22703,721.1369343865152,0.0004947334896610483,3.8669381258477733,0.22116756398920934,4.261275755635903,-7.1831912456562605,-5.621533674221617,0.2805259709891939,0.9899275698659065,721.1369343865152
702,22704,733.2446083802795,0.0005509100119277708,3.517125545462182,0.15073268959891287,3.4930376846103246,-7.406588720669083,-5.862372442453171,0.45871652368185606,0.9866550954158111,733.2446083802795
703,22705,862.3674367311509,0.00028968185783139947,5.265766771249225,0.3588405259395713,3.6864683185687745,-7.201274178251608,-7.4934023851315565,0.378739218946644,0.9876127799353147,862.3674367311509
704,22706,718.9356276528842,0.0004781665355680247,4.305684084159202,0.212414962920263,4.378650575001735,-8.244292899641081,-4.4398294153964315,0.03679266979862906,0.9836007281972928,718.9356276528842
705,22707,850.5206491523174,0.00043207182531451694,4.084713740226075,0.3521694256000974,3.5886941228324556,-7.784934574832352,-5.297824689066816,0.11163007332822553,0.985823126286526,850.5206491523174
706,22708,709.9589124831704,0.0006616749372519551,4.566146227802439,0.2523625193975858,2.5591579954928765,-8.835397156722124,-5.380509358372466,0.2980567044191523,0.9907667962868987,709.9589124831704
707,22709,746.9650649004395,0.0005147739778720801,4.333810494778769,0.18692845071821038,5.3053087940250165,-6.460417045480506,-6.130268332654405,0.035687958133151995,0.9743191237350305,746.9650649004395
708,22710,829.2193913256448,0.0004761311086250684,3.78447725056708,0.07967907994778203,4.869723804009621,-5.814555682375909,-7.277206120791919,0.22581659684814853,0.9702557723847879,829.2193913256448
709,22711,692.901311630173,0.000620746290189079,3.587441968432441,0.0857715555633413,5.5801195831512835,-5.8267125447174415,-7.2910555686759855,0.37672949093275426,0.9670485842744742,692.901311630173
710,22712,805.3828760230656,0.0007344829845923421,4.351706429719259,0.18800081139201655,3.057907120139356,-4.842105469858784,-8.819933584921822,0.1880734042510499,0.9873138059364533,805.3828760230656
711,22713,712.6368722381662,0.0005847531072331394,4.676696836634869,0.3003471156440106,4.837073407634987,-4.901350896674828,-8.835269501989515,0.3191389616853104,0.9892656358890024,712.6368722381662
712,22714,811.3546523047763,0.0012925098538275972,3.969753642805244,0.00750771801102787,8.017444275947838,-6.6434938012572555,-5.964013031598475,0.43145863530146705,0.9848520138470723,811.3546523047763
713,22715,789.7861388277707,0.0008234355563468686,3.489682377760585,0.13778879173151592,4.880628327109725,-8.391760909249712,-4.361864893717535,0.21702684258339705,0.9737095171044254,789.7861388277707
